廠牌,排氣量(CC),車型名稱,機油交換量(ML),機油交換量誤差,齒輪油,齒輪油誤差
山葉(YAMAHA),50,Fancy,780,+-50,100,+-10
山葉(YAMAHA),50,Vino,780,+-50,100,+-10
山葉(YAMAHA),100,Super Four(各代皆同),1000,+-50,130,+-10
山葉(YAMAHA),100,RS(各代皆同),1000,+-50,130,+-10
山葉(YAMAHA),100,RS-Z,1000,+-50,130,+-10
山葉(YAMAHA),100,Jog Sweet,1000,+-50,130,+-10
山葉(YAMAHA),100,CUXI,1000,+-50,130,+-10
山葉(YAMAHA),125,SV-MAX,1000,+-50,130,+-10
山葉(YAMAHA),125,GTR(各代皆同),900,+-50,110,+-10
山葉(YAMAHA),125,Cygnus(各代皆同),900,+-50,110,+-10
山葉(YAMAHA),125,Breeze(各代皆同),1000,+-50,130,+-10
山葉(YAMAHA),125,Forte(風光.新風光),1000,+-50,130,+-10
山葉(YAMAHA),125,Fuzzy,1000,+-50,130,+-10
山葉(YAMAHA),125,Vino,1000,+-50,130,+-10
山葉(YAMAHA),125,Majesty,1200,+-50,130,+-10
山葉(YAMAHA),150,愛將(SR150),1000,+-50,與機油共用,
光陽(KYMCO),100,Easy(各代皆同),700,,110,
光陽(KYMCO),125,三冠王(各代皆同),800,50,180,10
光陽(KYMCO),125,GP(各代皆同),800,50,180,10
光陽(KYMCO),125,奔馳(各代皆同),750,50,110,10
光陽(KYMCO),125,奔騰(各代皆同含AFI),800,50,180,10
光陽(KYMCO),125,金勇,800,,與機油共用,
光陽(KYMCO),150,Techno 12",800,,180,
光陽(KYMCO),150,KTR,900,,與機油共用,
光陽(KYMCO),150,Zing,1000,,與機油共用,
光陽(KYMCO),150,Hipster,825,25,與機油共用,
光陽(KYMCO),250,Grand Dink,900,,與機油共用,
